id,domain_name,is_malicious,first_seen,last_seen,organization_id
219,www.dslam.net,1,,,6
220,ns2.london-sport.net,1,,,6
221,ns1.london-sport.net,1,,,6
222,www.london-sport.net,1,,,6
223,api.london-sport.net,1,,,6
224,www.sports-et-loisirs.net,1,,,6
225,www.leaf-japan.net,1,,,6
226,www.it-franch-result.info,1,,,6
227,ww12.it-franch-result.info,1,,,6
228,lo6.jasondixon.net,1,,,6
229,m.jasondixon.net,1,,,6
230,ww12.jasondixon.net,1,,,6
231,www.jasondixon.net,1,,,6
232,www.anime-con.net,1,,,6
233,mail.bbalignit.com,1,,,6
234,www.www.bbalignit.com,1,,,6
235,sitemap.bbalignit.com,1,,,6
236,m.bbalignit.com,1,,,6
237,mail.kora442.com,1,,,6
238,www.kora442.com,1,,,6
239,dragon.lapizachat.com,1,,,6
240,eeignwww.sitemaps.lapizachat.com,1,,,6
241,wwww.lapizachat.com,1,,,6
242,mail.lapizachat.com,1,,,6
243,mail.wislisapp.com,1,,,6
244,ww12.wislisapp.com,1,,,6
245,www.wislisapp.com,1,,,6
246,wwww.clemochat.com,1,,,6
247,ww12.clemochat.com,1,,,6
248,m.clemochat.com,1,,,6
249,www.clemochat.com,1,,,6
250,sitemaps.wobomov.com,1,,,6
251,m.wobomov.com,1,,,6
252,www.wobomov.com,1,,,6
253,cpcontacts.reblychat.com,1,,,6
254,cpcalendars.reblychat.com,1,,,6
255,m.reblychat.com,1,,,6
256,www.reblychat.com,1,,,6
257,mail.voevanil.com,1,,,6
258,www.voevanil.com,1,,,6
259,cpanel.wcup22qat.com,1,,,6
260,cpcontacts.wcup22qat.com,1,,,6
261,www.wcup22qat.com,1,,,6
262,www.acs-group.net,1,,,6
263,mail.acs-group.net,1,,,6
264,smtp.acs-group.net,1,,,6
265,ww.acs-group.net,1,,,6
266,www.gsstar.net,1,,,6
267,picramail.donald-grigg.site,1,,,6
268,ns6.donald-grigg.site,1,,,6
269,www.donald-grigg.site,1,,,6
270,ns1.donald-grigg.site,1,,,6
271,www.scott-chapin.com,1,,,6
272,mail.frances-thomas.com,1,,,6
273,webmail.frances-thomas.com,1,,,6
274,www.frances-thomas.com,1,,,6
275,www.pam-beesly.site,1,,,6
